No;Judul;Jenis Paper;Kualitas Jurnal / Indeks;Penulis;Tahun Terbit;Rumusan Masalah;Metode;Hasil Pembahasan;Kelebihan;Kekurangan;Ringkasan Jurnal
11;Dark Patterns sebagai Bentuk Manipulasi Perilaku Konsumen Digital: Analisis Interdisipliner terhadap Dampak Psikologis, Hukum, dan Ekonomi dari Praktik Desain Manipulatif dalam Ekosistem E-Commerce Global;Jurnal;Jurnal Nasional (Sinta 5);Rizha Claudilla Putri;2025;Menganalisis secara interdisipliner dampak fenomena dark patterns pada platform e-commerce berskala global. Hal ini melibatkan investigasi mengenai sejauh mana teknik desain antarmuka merugikan dan memanipulasi tindakan konsumen berlawanan dengan preferensi kehendak bebas pengguna.;Menggunakan metode penelitian kualitatif deskriptif yang didukung secara penuh oleh pendekatan library research (studi dan telaah kepustakaan) untuk menganalisis dampaknya dari berbagai perspektif kepakaran.;Dark patterns memiliki implikasi yang membahayakan secara psikologis (dengan eksploitasi bias kognitif dan emosi), hukum (potensi kuat pelanggaran hak dan persetujuan privasi konsumen), dan juga ekonomi (membuat pasar terdistorsi dan hilangnya uang konsumen digital secara tidak sadar hingga miliaran dolar). Kajian ini juga menyatakan bahwa sistem regulasi dan undang-undang yang ada saat ini secara global belum memadai untuk menanganinya.;Kajiannya berbobot tinggi karena menggunakan pendekatan analisis interdisipliner (menggabungkan ilmu psikologi, hukum perdata, dan ekonomi digital) sehingga dampak kerusakan dari desain manipulatif terlihat sangat komprehensif.;Keseluruhan isinya bergantung murni pada studi kepustakaan (library research), sehingga tidak menawarkan data empiris baru, prototipe, atau hasil pengujian lapangan dari populasi pengguna langsung.;Riset kepustakaan ini membedah fenomena dark patterns dari tiga kacamata keilmuan yang berbeda. Penelitian menyimpulkan bahwa taktik manipulasi desain tidak hanya mengeksploitasi bias kognitif manusia, tetapi juga menciptakan pasar ekonomi yang terdistorsi dan menuntut adanya pembaruan mendesak pada hukum perlindungan privasi konsumen global.
12;Evaluasi dan Perbaikan Antarmuka Pemesanan Tiket Pesawat Traveloka Untuk Mengurangi Penggunaan Dark Pattern Menggunakan Metode User-Centered Design (UCD);Jurnal;Jurnal Nasional (Sinta 5);Debby Marlina Sianipar, Syti Sarah Maesaroh, M Dzikri A-Ridlo;2025;Bertujuan untuk mengenali apa saja dark pattern yang secara nyata beroperasi di platform Traveloka (khususnya alur tiket pesawat seperti biaya tersembunyi/tambahan otomatis), memahami persepsi kerugian pengguna, serta mengevaluasi potensi perbaikan rancangan UI aplikasinya.;Kombinasi pendekatan content analysis (analisis isi), User-Centered Design (UCD), hingga wawancara semi-terstruktur pada pengguna. Antarmuka sebelumnya dan hasil perbaikan diuji lalu diukur komparasinya melalui alat tes System Darkness Scale (SDS) untuk menilai tingkat bahaya manipulasi.;Traveloka mulanya memuat 6 tipe dark pattern dengan skor SDS awal yang membengkak di angka 88 (tergolong memanipulasi secara tinggi). Berkat redesain melalui instrumen UCD, hasil skor SDS menurun drastis menjadi hanya 10 poin. Terbukti bahwa purwarupa revisi menghasilkan proses pemesanan tiket yang jauh lebih sederhana, transparan informasinya, dan memberikan konsumen kendali penuh akan pilihan mereka.;Sangat spesifik pada studi kasus nyata (aplikasi Traveloka) dengan memberikan solusi konkrit berupa desain ulang (redesain), dan berhasil membuktikan keberhasilan desain barunya melalui hitungan skor matematis yang objektif.;Hanya berfokus pada satu platform aplikasi lokal (Traveloka) dan dibatasi pada satu alur layanan spesifik (pemesanan tiket pesawat), sehingga validitas keberhasilannya mungkin harus diuji ulang jika diterapkan pada industri layanan lain.;Penelitian ini berhasil membongkar dan memangkas berbagai elemen jebakan biaya tambahan otomatis pada aplikasi Traveloka. Melalui proses redesain yang berpusat pada pengguna, hasil purwarupa revisi terbukti secara kuantitatif mampu menurunkan tingkat manipulasi antarmuka secara drastis sehingga transaksi menjadi lebih aman.
13;The impact of dark patterns on user trust and long-term engagement: An ethical analysis;Jurnal;Jurnal Internasional (WJARR);Oleg Sukhorukov;2025;Menyelidiki klasifikasi taktik penipuan, data prevalensinya, dan konsekuensi potensialnya yang tak wajar terhadap etika, kepercayaan pengguna (user trust), serta dampaknya ke masa depan (long-term engagement) layanan digital perusahaan.;Telaah teoritis dan komparasi literatur, dengan menyajikan kode etik UX dan menganalisis undang-undang digital global yang dikeluarkan oleh komisi perlindungan dagang seperti FTC (AS), CMA (Inggris), dan regulasi DSA (Eropa).;Eksploitasi berlebihan pada elemen dark pattern berpotensi fatal menurunkan kepercayaan pelanggan, namun di sisi lain desain ini terus digunakan perusahaan untuk mengejar perolehan konversi jangka pendek. Untuk mencegah rusaknya kebiasaan berbelanja generasi digital selanjutnya, diperlukan kebijakan hukum yang ketat atas praktik UX yang tidak etis, perlindungan keamanan data, serta diberlakukannya penyusunan pedoman kode etik mutlak bagi profesi Desainer UX.;Memiliki fokus pandangan yang kuat terhadap implikasi kerugian jangka panjang dari sisi keberlangsungan bisnis perusahaan, serta menyoroti regulasi dari dewan komisi perlindungan dagang internasional.;Pembahasannya lebih banyak bersifat konseptual dan berpusat pada perdebatan teoretis mengenai etika profesi, sehingga kurang menyentuh eksperimen praktis dari sisi antarmuka secara langsung.;Jurnal ini menganalisis konsekuensi fatal dari eksploitasi antarmuka manipulatif yang dinilai dapat menghancurkan loyalitas serta kepercayaan jangka panjang konsumen. Penulis merumuskan bahwa wajib dibentuk sebuah pedoman kode etik yang tegas bagi profesi Desainer UX demi mencegah praktik pencarian keuntungan perusahaan yang tidak bermoral.
14;Studi Komparatif Respons Pengguna terhadap Strategi Desain Dark Patterns dan Bright Patterns pada Antarmuka E-commerce di Indonesia;Jurnal;Jurnal Nasional (Sinta 3);Zahwa Almira Kayla, Andhika Giri Persada;2025;(1) Apa saja elemen dari dark patterns yang paling menjamur di antarmuka e-commerce di Indonesia? (2) Bagaimana hasil komparasi antara respons pelanggan yang terpapar taktik antarmuka dark patterns berbanding dengan pola rancangan etis bright patterns? (3) Apa saja faktor personal di balik terbentuknya variasi respons tersebut?;Implementasi eksperimen dalam subjek (within-subject) bersifat kualitatif pada 12 partisipan representatif pengguna e-commerce, dibagi menjadi kelompok pengguna yang sangat aktif serta mereka yang sama sekali belum berbelanja secara daring. Eksperimen memuat wawancara semi-terstruktur serta pembagian analisis model psikologis respons ke dalam format desain emosional, yaitu visceral, behavioral, dan reflective.;Adanya habituasi yang kuat membuat para partisipan aktif dengan mudah memaklumi, bahkan awal mulanya menyukai sensasi antarmuka kelangkaan dark patterns. Kendati demikian, pasca-pemberian edukasi kecil, perspektif kelompok aktif itu berubah 180 derajat untuk beralih lebih mendukung penerapan rancangan bright patterns. Berlawanan dengan itu, sejak awal partisipan berstatus non-pengguna selalu merasa ragu, menghindari paksaan opsi, dan secara konsisten hanya memilih tampilan antarmuka bright pattern. Kesimpulannya, pengenalan edukasi secara singkat saja sangat memengaruhi preferensi kemampuan kritis dari pembeli digital.;Merupakan publikasi akademik bereputasi yang mengemas hasil penelitian eksperimental secara sistematis, serta memberikan perbandingan mendalam yang kaya akan psikologi antara reaksi pelanggan aktif dan pelanggan awam e-commerce.;Menggunakan jumlah sampel partisipan yang tergolong sangat kecil (12 orang) karena formatnya didesain untuk wawancara kualitatif mendalam, sehingga hasilnya hanya berupa pemetaan emosional dan bukan generalisasi statistik.;Merupakan jurnal terpublikasi dari hasil skripsi, dokumen ini membandingkan respons kejiwaan pembeli daring saat dihadapkan pada desain manipulatif dan desain etis. Kesimpulan utamanya menegaskan bahwa edukasi literasi digital dalam waktu singkat merupakan langkah paling logis dan efektif untuk menyadarkan konsumen yang otaknya sudah terbiasa dimanipulasi oleh aplikasi e-commerce.
15;Dark Patterns dalam Digital Marketing: Etika dan Dampaknya terhadap Loyalitas Konsumen;Jurnal;Jurnal Nasional / Internasional (International Journal of Economics and Management Research / IJEMR) - Belum ada keterangan Sinta secara eksplisit di dokumen;I Nyoman Susipta;2025;Bertujuan untuk mengidentifikasi dan mengklasifikasikan bentuk-bentuk dark patterns yang digunakan dalam ekosistem pemasaran digital, menganalisis persepsi etika konsumen terhadap penggunaannya, mengkaji dampak kerusakan dark patterns terhadap tingkat loyalitas konsumen, serta memberikan pemahaman etis sebagai landasan untuk menyusun strategi digital marketing yang jauh lebih bertanggung jawab.;Penelitian ini menggunakan pendekatan kuantitatif dengan metode survei kuesioner. Data primer diperoleh secara langsung dari responden, sementara data sekunder didukung melalui studi kepustakaan. Data yang terkumpul diproses menggunakan uji validitas (Korelasi Pearson), uji reliabilitas (Cronbach's Alpha), dan analisis regresi linier berganda yang pelaksanaannya dieksekusi dengan pendekatan Structural Equation Modeling (SEM) berbasis Partial Least Square (SmartPLS).;Penelitian ini menyimpulkan bahwa praktik taktik pemasaran dark patterns (seperti fitur forced continuity/langganan paksa, hidden costs/biaya tersembunyi, dan countdown timers/waktu hitung mundur fiktif) terbukti menurunkan tingkat kepercayaan pelanggan terhadap sebuah merek dan berujung pada penurunan drastis pada loyalitas konsumen. Desain manipulatif dark patterns hanya dapat menawarkan keuntungan sekejap dalam hal konversi dan peningkatan target penjualan, namun dampak jangka panjangnya sangat fatal dan destruktif karena merusak loyalitas konsumen terhadap produk maupun merek itu sendiri.;Menggunakan pendekatan kuantitatif yang sangat kokoh dengan model regresi Structural Equation Modeling (SEM) berbasis SmartPLS, sehingga hubungan sebab-akibat antara manipulasi pemasaran digital dan penurunan loyalitas dapat dibuktikan secara matematis dan statistik.;Fokus penelitian ini lebih ditekankan pada ruang lingkup ilmu pemasaran digital (digital marketing) secara umum, sehingga pembahasan mengenai rincian teknis perancangan desain antarmuka visual (UI/UX) tidak dibedah secara mendalam di dalam makalah ini.;Jurnal kuantitatif ini menyelidiki bahaya desain manipulatif dari kacamata pemasaran digital. Hasil analisis statistiknya membuktikan dengan tegas bahwa taktik seperti pemaksaan langganan, biaya tersembunyi, atau waktu hitung mundur palsu sangat merusak tingkat kepercayaan pelanggan. Kesimpulan utamanya adalah praktik tak etis ini mungkin sanggup meningkatkan penjualan sesaat, namun menjadi bom waktu yang secara pasti akan menghancurkan loyalitas jangka panjang konsumen terhadap sebuah merek.
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;jurnal referensi;https://drive.google.com/drive/folders/1bMVXylCSRJW6KfqIjPW6osG59pVUM2a3?usp=drive_link;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;

